dt
32,2593
32,3027
31,9042
32,0774
32,0689
31,9722
31,9044
31,6768
31,6396
31,5823
31,4154
31,2928
31,2906
31,255
31,2972
31,4004
31,4765
31,4432
31,2175
31,2695
31,3142
31,2886
31,2953
31,2355
30,9267
30,9396
30,9781
31,0586
31,1266
31,2402
31,287
31,2995
31,3247
31,3153
31,3656
31,4801
31,4158
31,3393
31,3915
31,3652
31,4034
31,4104
31,3778
31,2966
31,222
31,2682
31,261
31,2927
31,2063
31,006
31,1168
31,099
31,1908
31,0085
31,1248
31,2171
31,2048
31,1964
31,1463
31,2337
31,2458
31,2076
31,1726
31,2368
31,2299
31,1916
31,0902
30,9472
30,8489
30,4427
30,3391
30,4022
30,5491
30,4097
30,302
30,1377
30,1384
30,1198
30,1079
30,0702
29,9946
29,7736
29,8401
29,7434
29,725
29,7258
29,7219
29,7136
29,6642
29,5988
29,4272
29,4855
29,4257
29,3545
28,903
28,88
28,8413
28,9593
28,9177
28,9725
28,9814
28,9876
29,1866
29,2264
29,3206
29,2587
29,4228
29,5004
29,3368
29,4919
29,5495
29,7279
29,5551
29,3342
29,0421
29,1423
29,1804
29,2298
28,7952
28,8954
28,8452
28,8645
28,931
28,9107
28,9168
29,0849
29,1401
29,2934
29,3635
29,9347
29,686
29,7141
29,6037
29,5946
30,1592
31,0877
30,8588
31,5359
31,3038
31,3417
31,2773
31,6253
31,4489
30,3332
30,6045
30,1608
30,1674
30,4594
30,1979
29,7155
29,5612
29,6989
29,644
29,8541
29,9026
29,8818
30,0814
30,4636
30,2677
30,5082
30,7064
30,897
30,4709
30,3281
30,3137
30,2825
30,2402
30,1832
30,1545
30,1632
30,2607
30,1175
30,0653
30,1385
29,9385
29,9687
29,9511
30,0333
29,7413
29,929
29,8268
29,6198
29,5041
29,4439
29,3516
29,0198
28,7466
28,6234
28,7707
28,8248
28,8298
28,8682
28,9504
29,1248
29,4749
29,3583
29,1844
29,212
29,2617
29,2501
29,0454
29,0062
29,1788
28,9859
29,1282
29,2106
29,0683
29,144
29,0183
29,2861
29,5194
29,1791
29,1615
29,3755
29,254
29,383
29,4999
29,6932
29,8908
30,0033
29,7094
29,703
29,7764
29,9734
29,9494
29,9254
29,8874
30,0817
30,089
30,3506
30,0359
30,0429
29,9355
30,0795
29,9254
29,7924
29,7885
29,9202
29,7758
29,6701
29,7863
29,6563
29,6269
29,3407
29,0583
28,5806
28,5081
28,2574
28,0215
27,7866
27,9207
27,9176
28,5496
28,5084
28,6851
28,8039
28,8992
28,8879
28,8392
28,8341
29,0359
29,0767
